A,B,C,Desc
0.15,1.17,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.01,1.89,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.45,3.89,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.3,3.1,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.94,-3.85,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.33,3.88,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.13,-3.23,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.18,-2.14,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.84,2.75,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.39,-0.36,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.25,0.27,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.38,3.54,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.5,1.24,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.41,-0.11,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.84,1.06,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.51,0.5,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.44,3.76,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.71,0.49,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.59,1.39,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.85,0.77,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.06,1.99,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.33,2.6,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.15,1.55,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.31,-1.51,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.09,1.86,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.91,1.49,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.19,-1.34,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.61,-3.89,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.95,0.7,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.61,0.87,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.8,0.79,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.47,-0.74,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.31,-3.62,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.66,1.07,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.88,3.43,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.26,-1.75,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.36,-1.52,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.46,1.27,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1,2.3,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.05,2.95,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.94,-0.72,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.62,-0.28,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.19,3.12,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.2,3.97,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.08,-2.05,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.92,-2.18,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0,3.36,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.08,0.23,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.46,1.55,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.83,0.81,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.4,-2.02,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.81,-1.04,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.29,2.82,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.13,-2.43,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.21,0.47,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.29,1.19,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.67,1.26,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.7,0.53,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.42,0.68,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.34,-0.2,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.26,-0.76,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.16,3.13,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.24,2.29,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.32,3.98,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.79,1.62,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.96,-3.28,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.4,-1.38,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.84,-1.07,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.95,-0.42,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.26,-1.69,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.13,2.87,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.23,-2.34,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.37,-0.52,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.36,-3.5,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.58,-3.38,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.89,-1.7,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.37,3.34,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.04,0.77,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.79,-0.52,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.39,1.39,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.3,2.45,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.63,-1.97,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.64,2.66,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.91,-3.41,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.11,-3.77,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.48,-1.73,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.29,3.93,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.97,-3.77,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.37,0.06,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.16,1.52,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.64,0.78,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.76,1.59,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.36,-2.83,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.74,-2.62,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.12,-3.56,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.96,-0.17,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.94,0.04,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.44,3,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.72,-0.38,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.68,0.5,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.55,0.23,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.36,-2.63,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.85,-0.81,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.29,-1.34,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.01,-3.53,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.54,-1.51,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.64,-3.18,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1,-3.3,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.05,0.86,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.69,1.87,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.43,1.03,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.13,-1.1,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.01,2.68,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.39,-3.34,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.64,0.51,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.33,-0.05,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.61,1.73,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.59,0.42,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.16,3.77,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.44,-1.34,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1,-3.49,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.18,0.26,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.47,1.5,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.02,1.84,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.21,-0.78,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.1,-2.05,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.71,0.51,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.34,3.09,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.63,-3.2,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.86,1.59,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.9,-3.95,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.48,-3.94,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.84,-0.72,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.09,2.67,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.41,0.71,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.73,1.82,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.21,-0.66,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.46,3.24,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.56,2.22,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.77,0.53,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.5,-2.38,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.06,0.77,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.35,1.2,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.58,3.83,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.24,0.8,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.24,3.7,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.6,2.54,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.18,1.24,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.65,2.66,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.94,-0.72,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.41,-0.27,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.34,2.49,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.49,1.38,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.47,2.59,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.36,-3.41,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.46,1.55,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.69,-3.4,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.37,-0.5,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.32,-0.69,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.93,-1.76,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.21,-3.87,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.78,-0.07,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.31,-2.59,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.81,-1.13,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.33,2.89,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.08,3.96,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.01,-3.59,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.08,-3.6,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.78,3.31,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1,-1.59,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.93,3.72,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.1,-1.55,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.56,-0.33,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.5,2.77,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.02,0.3,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.78,-3.11,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.25,-0.72,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.87,3.38,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.27,3.22,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.31,-3.09,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.98,3.56,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.75,-2.93,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.26,3.66,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.12,-0.08,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.98,1.04,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.98,-3.55,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.15,2.4,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.12,3.3,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.15,-0.16,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.87,-1.39,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.49,-3.31,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.02,-2,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.2,0.84,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.15,3.07,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.45,-1.72,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.42,2.82,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.67,3.65,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.54,1.16,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.62,3.52,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.45,-2.25,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.47,1.68,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.84,-1.14,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.56,1.29,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.69,-3.45,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.39,0.52,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.94,1.14,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.3,-1.7,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.3,3.11,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.32,-3.47,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.09,1.67,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.4,3.22,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.3,0.59,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.64,1.21,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.91,2.03,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.97,-2.3,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.67,-3.73,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.06,0.4,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.22,-1.49,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.04,3.05,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.77,-0.64,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.77,-1.77,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.66,-1.87,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.03,1.17,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.7,-3.78,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.12,-0.23,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.51,-0.53,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.72,-3.76,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.5,-3.68,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.93,3.34,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.56,-1.8,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.67,-0.58,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.85,2.44,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.45,0.91,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.13,-0.79,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.45,-2.29,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.93,-3.17,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.11,0.35,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.28,1.89,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.52,4,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.41,2.54,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.18,3.44,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.38,-2.33,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.43,-2.72,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.1,-2.14,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.54,-3.45,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.92,-3.9,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.13,0.15,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.14,3.27,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.39,-1.69,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.33,-2.79,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.81,3.56,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.24,-1.5,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.11,1.33,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.36,3.62,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.94,2.26,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.15,2.38,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.21,-2.95,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.26,-2.44,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.61,-3.23,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.37,2.02,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.8,-3.15,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.7,2.28,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.38,-2.25,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.09,1.41,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.08,1.35,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.18,1.61,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.47,-2.87,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.17,-2.91,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.45,0.12,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.48,2.11,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.16,-1.42,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.27,-2.38,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.72,1.06,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.98,-3.63,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.68,-1.1,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.88,-0.89,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.35,-1.66,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.84,-3.06,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.09,1.45,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.72,-1.95,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.35,-2.74,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.63,3.78,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.41,-3.05,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.32,-0.46,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.32,3.53,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.9,-2.73,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.74,1.84,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.93,0.88,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.34,-2.97,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.75,-2.25,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.98,-0.85,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.6,-2.98,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.08,-2.1,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.27,3.37,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.35,2.26,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.9,-2.69,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.78,-1.54,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.46,0.62,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.06,-0.58,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.17,2.8,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.57,-3.75,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.15,1.2,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.72,1.96,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.66,-3.56,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.37,-2.14,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.8,-0.01,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.98,2.39,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.46,-3.94,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.61,-1.18,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.03,0.18,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.59,-0.07,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.9,0.62,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.13,4,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.68,-2.94,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.11,-3.81,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.19,-3.7,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.71,-1.25,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.56,-1.53,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.61,-1.62,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.47,-1.31,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.17,2.42,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.09,2.03,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.6,-1.78,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.52,0.86,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.4,2.22,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.11,0.81,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.06,-3.14,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.54,-2.93,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.66,0.03,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.09,0.81,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.8,-0.33,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.69,-1.75,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.71,2.97,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
2,3.93,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.46,-1.32,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.81,2.71,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.26,0.36,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.86,-0.42,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.45,-3.57,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.18,2.55,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.57,2.98,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.18,2.08,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.49,3.48,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.67,-1.74,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.05,-3.58,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.95,1.72,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.34,-2.2,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.72,1.08,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.72,-3.22,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
-0.33,-1.34,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.97,-0.72,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
0.16,0.97,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
1.52,1.86,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw
