A,B,C,Desc,Answer
0.79,-3.4,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 762
0.54,-3.83,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 763
1.51,-1.86,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 764
1.4,-3.13,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 765
0.87,3.79,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 766
1.12,0.65,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 767
-0.26,0.08,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 768
1.66,-3.7,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 769
0.48,0.74,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 770
0.68,-1.15,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 771
1.68,-1.76,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 772
0.02,-3.33,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 773
-0.27,-3.08,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 774
1.24,0.92,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 775
0.03,2.57,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 776
-0.11,0.03,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 777
1.58,-1.13,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 778
0.6,3.9,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 779
0.49,-3,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 780
0.37,-3.26,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 781
-0.08,-0.75,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 782
1.74,3.95,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 783
1.69,-0.58,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 784
1.71,-2.47,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 785
0.46,-0.98,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 786
1.82,0.79,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 787
1.38,-3.12,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 788
1.34,-1.6,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 789
1.97,0.35,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 790
0.54,3.79,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 791
1.95,0.98,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 792
0.44,3.32,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 793
1.08,3.62,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 794
-0.03,0,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 795
1.24,2.39,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 796
-0.47,1.87,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 797
1.12,-1.2,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 798
1.13,-2.48,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 799
1.27,2.46,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 800
0.52,3.32,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 801
0.9,-2.81,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 802
1.61,-3.04,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 803
0.51,0.26,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 804
1.56,-2.33,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 805
0.78,-2.01,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 806
0.11,-2.07,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 807
0.7,-0.14,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 808
0.32,2.68,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 809
1.14,2.4,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 810
-0.28,0.49,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 811
1.99,-1.91,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 812
1.65,-1.32,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 813
-0.14,-3.46,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 814
1,0.37,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 815
0.21,-1.81,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 816
0.96,3.11,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 817
1.37,1.52,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 818
1.1,-1.35,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 819
0.87,2.74,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 820
1.7,-1.17,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 821
0.72,1.73,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 822
-0.46,-3.97,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 823
-0.28,-1.99,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 824
1.53,0.89,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 825
0.88,-1.97,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 826
0.71,-1.99,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 827
1.59,-0.69,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 828
1.49,1.44,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 829
0.57,0.6,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 830
1.71,-3.98,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 831
-0.06,-2.77,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 832
1.56,1.85,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 833
0.05,-3.73,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 834
0.71,-1.52,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 835
-0.16,0.08,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 836
1.35,2.91,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 837
-0.03,-1.4,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 838
0.12,0.18,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 839
1.33,-3.75,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 840
1.27,3.62,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 841
0.74,0.49,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 842
0.68,3.19,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 843
0.26,-3.41,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 844
1.92,2.3,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 845
1.96,2.4,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 846
0.99,0.09,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 847
-0.12,-3.74,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 848
1.11,-2.57,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 849
0.13,-3.98,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 850
1.81,-0.36,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 851
-0.14,1.78,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 852
-0.35,1.43,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 853
1.86,3.01,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 854
1.36,1.21,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 855
-0.09,0.83,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 856
0.2,-0.16,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 857
1.44,-3.36,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 858
0.33,-2.62,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 859
0.56,-2.93,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 860
0.65,-2.93,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 861
1.4,0.49,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 862
1.12,-3.03,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 863
-0.03,-2.96,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 864
0.16,-1.89,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 865
-0.47,-1.77,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 866
1.35,-2.16,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 867
1.33,3.89,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 868
1.27,-1.32,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 869
1.87,2.58,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 870
0.78,-2.01,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 871
-0.25,-3.93,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 872
0.67,-0.55,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 873
0.76,3.02,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 874
0.14,0.56,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 875
-0.15,-2.98,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 876
1.34,-1.27,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 877
1.53,0.03,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 878
0.98,1.18,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 879
0.94,-3.03,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 880
1.21,3.38,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 881
-0.38,1.38,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 882
1.57,-2.3,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 883
0.17,-1.78,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 884
0.28,-1.58,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 885
-0.43,-2.09,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 886
0.36,0.41,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 887
1.28,3.96,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 888
1.65,0.72,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 889
0.92,1.49,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 890
0.13,2.2,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 891
-0.18,0.47,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 892
-0.24,0.1,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 893
1.61,-1.59,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 894
0.21,3.39,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 895
1.12,0.96,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 896
0.56,-3.43,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 897
-0.2,-1.29,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 898
1.7,0,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 899
1.93,1.44,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 900
1.91,-3.22,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 901
0.36,3.96,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 902
1.93,-3.6,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 903
-0.09,1.77,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 904
0.31,0.23,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 905
-0.01,-2.35,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 906
1.85,3.12,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 907
0.15,-1.91,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 908
-0.39,-0.3,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 909
-0.21,-0.37,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 910
1.23,-0.77,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 911
0.37,3.66,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 912
0.26,-0.69,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 913
-0.42,-1.93,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 914
-0.45,-1.45,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 915
1.32,0.46,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 916
-0.32,3.28,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 917
0.69,-1.68,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 918
-0.29,-2.59,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 919
0.06,1.33,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 920
1.81,3.58,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 921
-0.22,-0.6,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 922
0.4,3.32,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 923
1.22,0.72,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 924
-0.33,3.08,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 925
-0.44,-0.23,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 926
0.5,3.16,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 927
1.24,-0.81,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 928
1.53,0.51,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 929
-0.41,3.59,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 930
1,-0.18,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 931
1.08,-2.38,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 932
-0.2,2.28,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 933
0.27,0.6,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 934
0.96,-1.05,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 935
1.81,1.78,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 936
-0.09,0.16,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 937
0.99,-0.08,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 938
1.02,-1.98,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 939
-0.15,3.34,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 940
0.91,-0.69,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 941
1.99,0.99,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 942
0.98,1.64,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 943
-0.35,-0.38,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 944
-0.49,-3.55,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 945
-0.42,3.93,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 946
-0.5,2.53,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 947
0.48,-1.39,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 948
1.52,1.61,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 949
0.95,2.97,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 950
1.64,2.91,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 951
1.56,-1.7,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 952
1.49,0.43,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 953
0.32,-0.14,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 954
1.2,-3.09,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 955
1.97,3.72,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 956
0.56,2.68,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 957
0.98,0.37,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 958
0.48,2.15,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 959
1.37,3.87,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 960
1.36,0.71,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 961
0.45,-2.71,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 962
1.71,1.01,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 963
1.2,-2.54,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 964
-0.02,-3.7,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 965
2,1.64,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 966
0.33,-0.16,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 967
-0.21,-3.25,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 968
0.85,-2.33,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 969
0.03,2.21,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 970
1.32,-2.62,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 971
0.53,-2.65,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 972
1.07,-1.6,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 973
0.61,-1.33,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 974
1.84,1.11,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 975
-0.13,2.67,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 976
0.9,-1.12,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 977
-0.2,-2.81,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 978
-0.41,1.81,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 979
1.28,-3.32,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 980
0.75,-2.19,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 981
0.84,-2.25,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 982
1.22,1.99,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 983
1.52,-3.63,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 984
1.04,-0.53,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 985
-0.3,0.96,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 986
-0.09,3.02,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 987
0.52,-0.18,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 988
0.51,-2.79,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 989
1.98,-2.31,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 990
0.22,-3.69,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 991
1.11,-0.84,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 992
-0.05,1.06,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 993
0.96,3.24,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 994
-0.42,2.91,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 995
0.61,3.59,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 996
0.67,-2.16,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 997
0.31,-3.62,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 998
0.9,-0.25,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 999
1.42,1.19,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1000
-0.47,0.35,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1001
1.32,1.53,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1002
-0.27,3.88,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1003
0.16,-3.67,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1004
0.97,-0.69,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1005
0.56,3.06,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1006
1.49,-2.95,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1007
0.45,3.99,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1008
1.39,-2.95,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1009
1.22,2.73,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1010
-0.48,2.26,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1011
-0.33,3.68,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1012
0.79,-2.48,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1013
-0.05,2.69,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1014
1.97,-3.03,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1015
0.91,0.13,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1016
1.94,0.23,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1017
0.6,1.8,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1018
-0.17,-2.82,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1019
-0.09,2.03,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1020
1.28,-2.06,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1021
0.73,-2.87,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1022
1.19,2.7,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1023
0.7,-0.79,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1024
0.32,1.53,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1025
0,1.41,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1026
0.38,-1.25,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1027
1.21,0.86,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1028
1.43,-0.86,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1029
-0.44,-0.24,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1030
-0.04,-1.72,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1031
1.48,-0.57,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1032
0.65,2.33,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1033
0.06,0,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1034
0.67,-2.36,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1035
-0.2,-1.25,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1036
1.44,3.84,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1037
0.54,2.13,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1038
1.95,-0.01,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1039
0.94,3.73,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1040
-0.09,0.75,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1041
0.96,1.81,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1042
1.44,1.98,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1043
1.29,-0.05,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1044
1.9,3.34,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1045
0.82,3.83,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1046
1.55,-3.05,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1047
-0.38,-2.59,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1048
1.29,-3.66,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1049
1.17,1.26,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1050
0.14,0.23,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1051
-0.06,-1.17,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1052
-0.44,2.33,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1053
1.66,0.74,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1054
0.49,1.57,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1055
0.14,1.37,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1056
0.39,-1.34,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1057
1.64,0.02,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1058
1.23,-1.8,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1059
-0.1,3.28,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1060
-0.19,3.98,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1061
1.12,-0.8,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1062
0.98,-3.38,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1063
-0.34,2.12,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1064
1.72,0.28,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1065
-0.18,2.07,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1066
0.99,1.51,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1067
0.93,0.2,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1068
1.39,-0.22,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1069
0.58,-2.57,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1070
-0.02,-3.08,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1071
0.73,-0.97,0.25,mvejmejcxaxkbhncsjpmbezdoochlhpw,answer 1072
